EOG0907002K	Duplicated	scaffold192_pilon_pilon	2542124	2690611	2633.0	2430
EOG0907002K	Duplicated	scaffold585_pilon_pilon	561290	772904	2951.2	2453
EOG0907004F	Duplicated	scaffold3450_pilon_pilon	89043	121112	5062.0	2167
EOG0907004F	Duplicated	scaffold58_pilon_pilon	9285797	9325126	4542.3	2002
EOG0907008N	Duplicated	scaffold289_pilon_pilon	45047	66255	3387.9	1976
EOG0907008N	Duplicated	scaffold44_pilon_pilon	12112698	12216608	3296.6	1712
EOG0907009D	Duplicated	scaffold23_pilon_pilon	7363567	7475537	2471.3	1230
EOG0907009D	Duplicated	scaffold6060_pilon_pilon	28263	56378	2788.3	1529
EOG0907009S	Duplicated	scaffold3039_pilon_pilon	166031	202449	2477.8	1594
EOG0907009S	Duplicated	scaffold50_pilon_pilon	8041255	8060428	2246.6	1209
EOG090700AG	Duplicated	scaffold1428_pilon_pilon	207130	297796	2269.3	1474
EOG090700AG	Duplicated	scaffold578_pilon_pilon	419205	517170	2290.2	1698
EOG090700AN	Duplicated	scaffold204_pilon_pilon	1186036	1199983	3102.7	1440
EOG090700AN	Duplicated	scaffold3048_pilon_pilon	48196	103418	2736.4	1429
EOG090700AT	Duplicated	scaffold2_pilon_pilon	21469281	21514955	332.0	152
EOG090700AT	Duplicated	scaffold799_pilon_pilon	223680	260388	320.8	153
EOG090700BI	Duplicated	scaffold38_pilon_pilon	1180901	1210925	485.7	722
EOG090700BI	Duplicated	scaffold494_pilon_pilon	334988	369656	447.3	749
EOG090700EQ	Duplicated	scaffold1381_pilon_pilon	60777	134524	1555.8	1091
EOG090700EQ	Duplicated	scaffold162_pilon_pilon	2491473	2519874	1698.4	1018
EOG090700FT	Duplicated	scaffold2750_pilon_pilon	110166	214034	2589.5	1318
EOG090700FT	Duplicated	scaffold33_pilon_pilon	3246604	3361521	2854.6	1323
EOG090700G3	Duplicated	scaffold112_pilon_pilon	2133271	2184950	2904.5	1347
EOG090700G3	Duplicated	scaffold6027_pilon_pilon	45595	106058	2582.2	1389
EOG090700I3	Duplicated	scaffold39_pilon_pilon	3353448	3423166	2325.0	1149
EOG090700I3	Duplicated	scaffold717_pilon_pilon	353802	497083	2088.9	1140
EOG090700IY	Duplicated	scaffold33967_pilon_pilon	1	23785	1978.5	1121
